FAMÍLIA;SUB-FAMÍLIA;CODIGO SINAPI;DESCRIÇÃO;FABRICANTE DE REFERÊNCIA;UN.;PREÇO MÉDIO R$;DATA DE ATUALIZAÇÃO;FONTE DO PREÇO MÉDIO
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M5 - 25mm;TF-25-5 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M5 - 6mm;TF-6 - Intelli;un.;1,34;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-6mm-1f-1c-tf-6-intelli-02140017/p?skuId=11203
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M6 - 10mm;TF-10-6 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M6 - 16mm;TF-16-6 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M6 - 25mm;TF-25 - Intelli;un.;2,36;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-10-mm-1f-1c-tf-10-intelli-02140018/p?skuId=2650
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M6 - 35mm;TF-35-6 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M6 - 50mm;TF-50-6 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M6 - 6mm;TF-6-6 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M8 - 10mm;TF-10-8 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M8 - 16mm;TF-16-8 - Intelli;un.;;;-
